"tag","authorId","smellName","file","classDataShouldBePrivate","complexClass","functionalDecomposition","godClass","spaghettiCode","hasLongMethods"
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Property.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Property.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Rmic.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Rmic.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/types/XMLCatalog.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/types/XMLCatalog.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/types/Commandline.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/types/Commandline.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/tar/TarEntry.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/tar/TarEntry.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/XmlProperty.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/XmlProperty.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/ejb/WebsphereDeploymentTool.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/WebsphereDeploymentTool.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSS.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSS.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Manifest.java",1,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Manifest.java",1,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/filters/FixCrLfFilter.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/filters/FixCrLfFilter.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Replace.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Replace.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Jar.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Jar.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/AntClassLoader.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/AntClassLoader.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Delete.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Delete.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/bzip2/BlockSort.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/bzip2/BlockSort.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/zip/ZipEntry.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/zip/ZipEntry.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/XMLValidateTask.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/XMLValidateTask.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/IntrospectionHelper.java",0,1,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/IntrospectionHelper.java",0,1,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/Ant.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/Ant.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/Project.java",1,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/Project.java",1,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/ExecTask.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/ExecTask.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/util/DOMElementWriter.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/util/DOMElementWriter.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/condition/Os.java",1,0,0,0,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/condition/Os.java",1,0,0,0,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/extension/Specification.java",1,0,0,0,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/extension/Specification.java",1,0,0,0,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/bzip2/CBZip2OutputStream.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/bzip2/CBZip2OutputStream.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/ProjectHelper.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/ProjectHelper.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/ComponentHelper.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/ComponentHelper.java",0,0,0,1,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/bzip2/CBZip2InputStream.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/bzip2/CBZip2InputStream.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/types/Path.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/types/Path.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/pvcs/Pvcs.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/pvcs/Pvcs.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspC.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/jsp/JspC.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/zip/ZipFile.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/zip/ZipFile.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/util/ResourceUtils.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/util/ResourceUtils.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/ExecuteOn.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/ExecuteOn.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"org.silo","src/main/org/apache/tools/ant/UnknownElement.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2567,"missing.links","src/main/org/apache/tools/ant/UnknownElement.java",0,0,0,1,0,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"radiosilence","src/main/org/apache/tools/ant/taskdefs/Zip.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"missing.links","src/main/org/apache/tools/ant/taskdefs/Zip.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Zip.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"radiosilence","src/main/org/apache/tools/ant/util/FileUtils.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"missing.links","src/main/org/apache/tools/ant/util/FileUtils.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"radiosilence","src/main/org/apache/tools/ant/DirectoryScanner.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"missing.links","src/main/org/apache/tools/ant/DirectoryScanner.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"radiosilence","src/main/org/apache/tools/ant/taskdefs/Delete.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2558,"missing.links","src/main/org/apache/tools/ant/taskdefs/Delete.java",0,0,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2546,"missing.links","src/main/org/apache/tools/ant/helper/ProjectHelperImpl.java",0,0,0,0,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2546,"missing.links","src/main/org/apache/tools/ant/helper/ProjectHelper2.java",0,0,0,0,1,1
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java",0,1,0,1,1,0
"82e422080db593e2d9bc9e4a356c09a0e7543aff",2546,"missing.links","src/main/org/apache/tools/ant/types/AbstractFileSet.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2573,"org.silo","src/main/org/apache/tools/ant/taskdefs/SQLExec.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2573,"missing.links","src/main/org/apache/tools/ant/taskdefs/SQLExec.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2570,"missing.links","src/main/org/apache/tools/ant/MagicNames.java",1,0,0,0,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Get.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/util/FileUtils.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/zip/ZipOutputStream.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Javac.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/WeblogicDeploymentTool.java",0,0,0,1,0,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/SQLExec.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/helper/ProjectHelperImpl.java",0,0,0,0,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/Main.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/util/ResourceUtils.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/Diagnostics.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/WebsphereDeploymentTool.java",0,0,0,1,1,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Concat.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/FixCRLF.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/types/XMLCatalog.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Zip.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Javadoc.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Replace.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Jar.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/pvcs/Pvcs.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Tar.java",0,0,0,1,1,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Property.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/XMLValidateTask.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Ant.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/AntClassLoader.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTestRunner.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHExec.java",0,0,0,0,0,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/optional/image/ColorMapper.java",1,0,0,0,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/Get.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/util/FileUtils.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/net/FTP.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTask.java",1,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/Javac.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/WeblogicDeploymentTool.java",0,0,0,1,0,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/MacroDef.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/DirectoryScanner.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/CommandlineJava.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/util/JavaEnvUtils.java",1,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/SQLExec.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/email/EmailTask.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/Main.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/RedirectorElement.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/Execute.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/PropertyHelper.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/util/ProxySetup.java",1,0,0,0,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/util/ResourceUtils.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/Diagnostics.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/selectors/SelectorUtils.java",0,0,0,1,0,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/WebsphereDeploymentTool.java",0,0,0,1,1,1
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/JonasDeploymentTool.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/Concat.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/NetRexxC.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/FixCRLF.java",0,0,0,1,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/taskdefs/Manifest.java",1,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/XMLCatalog.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/selectors/ExecutableSelector.java",0,0,1,0,0,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2569,"missing.links","src/main/org/apache/tools/ant/types/Commandline.java",0,0,0,1,0,0
